219 categories and their parents:
  OST_StructuralBracePlanReps --> Brace in Plan View Symbols (-2006110
  OST_StructConnectionSymbols --> Connection Symbols (-2006100
  OST_StructuralAnnotations --> Structural Annotations (-2006090
  OST_RevisionCloudTags --> Revision Cloud Tags (-2006080
  OST_Revisions <none>
  OST_RevisionClouds --> Revision Clouds (-2006060
  OST_EditCutProfile <none>
  OST_ElevationMarks --> Elevation Marks (-2006045
  OST_GridHeads --> Grid Heads (-2006040
  OST_LevelHeads --> Level Heads (-2006020
  OST_DecalType <none>
  OST_DecalElement <none>
  OST_VolumeOfInterest --> Scope Boxes (-2006000
  OST_BoundaryConditions --> Boundary Conditions (-2005301
  OST_InternalAreaLoadTags --> Internal Area Load Tags (-2005255
  OST_InternalLineLoadTags --> Internal Line Load Tags (-2005254
  OST_InternalPointLoadTags --> Internal Point Load Tags (-2005253
  OST_AreaLoadTags --> Area Load Tags (-2005252
  OST_LineLoadTags --> Line Load Tags (-2005251
  OST_PointLoadTags --> Point Load Tags (-2005250
  OST_LoadCasesSeismic --> Seismic Loads (-2005218
  OST_LoadCasesTemperature --> Temperature Loads (-2005217
  OST_LoadCasesAccidental --> Accidental Loads (-2005216
  OST_LoadCasesRoofLive --> Roof Live Loads (-2005215
  OST_LoadCasesSnow --> Snow Loads (-2005214
  OST_LoadCasesWind --> Wind Loads (-2005213
  OST_LoadCasesLive --> Live Loads (-2005212
  OST_LoadCasesDead --> Dead Loads (-2005211
  OST_LoadCases --> Structural Load Cases (-2005210
  OST_InternalAreaLoads --> Internal Area Loads (-2005207
  OST_InternalLineLoads --> Internal Line Loads (-2005206
  OST_InternalPointLoads --> Internal Point Loads (-2005205
  OST_InternalLoads --> Structural Internal Loads (-2005204
  OST_AreaLoads --> Area Loads (-2005203
  OST_LineLoads --> Line Loads (-2005202
  OST_PointLoads --> Point Loads (-2005201
  OST_Loads --> Structural Loads (-2005200
  OST_BeamSystemTags --> Structural Beam System Tags (-2005130
  OST_FootingSpanDirectionSymbol --> Foundation Span Direction Symbol (-2005111
  OST_SpanDirectionSymbol --> Span Direction Symbol (-2005110
  OST_SpotSlopesSymbols <none>
  OST_SpotCoordinateSymbols <none>
  OST_SpotElevSymbols --> Spot Elevation Symbols (-2005100
  OST_TrussTags --> Structural Truss Tags (-2005030
  OST_KeynoteTags --> Keynote Tags (-2005029
  OST_DetailComponentTags --> Detail Item Tags (-2005028
  OST_MaterialTags --> Material Tags (-2005027
  OST_FloorTags --> Floor Tags (-2005026
  OST_CurtaSystemTags --> Curtain System Tags (-2005025
  OST_HostFinTags <none>
  OST_StairTags --> Stair Tags (-2005023
  OST_MultiCategoryTags --> Multi-Category Tags (-2005022
  OST_PlantingTags --> Planting Tags (-2005021
  OST_AreaTags --> Area Tags (-2005020
  OST_StructuralFoundationTags --> Structural Foundation Tags (-2005019
  OST_StructuralColumnTags --> Structural Column Tags (-2005018
  OST_ParkingTags --> Parking Tags (-2005017
  OST_SiteTags --> Site Tags (-2005016
  OST_StructuralFramingTags --> Structural Framing Tags (-2005015
  OST_SpecialityEquipmentTags --> Specialty Equipment Tags (-2005014
  OST_GenericModelTags --> Generic Model Tags (-2005013
  OST_CurtainWallPanelTags --> Curtain Panel Tags (-2005012
  OST_WallTags --> Wall Tags (-2005011
  OST_PlumbingFixtureTags --> Plumbing Fixture Tags (-2005010
  OST_MechanicalEquipmentTags --> Mechanical Equipment Tags (-2005009
  OST_LightingFixtureTags --> Lighting Fixture Tags (-2005008
  OST_FurnitureSystemTags --> Furniture System Tags (-2005007
  OST_FurnitureTags --> Furniture Tags (-2005006
  OST_ElectricalFixtureTags --> Electrical Fixture Tags (-2005004
  OST_ElectricalEquipmentTags --> Electrical Equipment Tags (-2005003
  OST_CeilingTags --> Ceiling Tags (-2005002
  OST_CaseworkTags --> Casework Tags (-2005001
  OST_Tags <none>
  OST_MEPSpaceColorFill --> Color Fill (-2003605
  OST_MEPSpaceReference <none>
  OST_MEPSpaceInteriorFill <none>
  OST_MEPSpaceReferenceVisibility --> Reference (-2003602
  OST_MEPSpaceInteriorFillVisibility --> Interior (-2003601
